,coherence,perplexity,topics
0,-2.0683865045577012,-8.134159893306359,3.0
1,-2.0932255052976028,-8.269554133873681,4.0
2,-2.146341883234046,-8.45754303160014,5.0
3,-4.049721776884863,-8.621868042818727,6.0
4,-2.1398669581777616,-8.781977439839023,7.0
5,-7.743528954791789,-8.856188891809948,8.0
6,-4.8888176384461985,-9.016759790814767,9.0
7,-5.360438528111849,-9.17627224938949,10.0
8,-5.035231079839597,-9.425007163344729,11.0
9,-5.249061359865915,-9.725160330246982,12.0
10,-10.670886791988334,-9.909611391295044,13.0
11,-8.172530204728018,-10.102366778649392,14.0
12,-7.208644765748473,-10.289885560148866,15.0
13,-6.517426771919325,-10.407066241441182,16.0
14,-7.411807650482453,-10.528655126902397,17.0
15,-7.460578628021338,-10.649823036066884,18.0
16,-8.95469960672008,-10.768096164740713,19.0
17,-8.355104164885763,-10.90467098274927,20.0
18,-8.490455057445276,-11.04004770270036,21.0
19,-8.028826684745693,-11.14814725362634,22.0
20,-8.18408191993139,-11.298303610366602,23.0
21,-8.120578567626154,-11.389366547246532,24.0
22,-8.034564989627679,-11.562511069829345,25.0
23,-8.161491855675136,-11.67479371815767,26.0
24,-9.403454263097178,-11.786690376420832,27.0
25,-10.42575740844353,-11.866146972032174,28.0
26,-8.538831304319258,-12.05207784904945,29.0
27,-9.542633376323415,-12.125079864927088,30.0
28,-9.686535573605623,-12.259949901827897,31.0
29,-8.79367427713574,-12.384585684368805,32.0
30,-9.673149716717809,-12.475166020977937,33.0
31,-9.595798557373271,-12.60026314376418,34.0
32,-10.769587973821869,-12.7408444153689,35.0
33,-10.12652627047381,-12.806930897539642,36.0
34,-9.840445091466927,-12.972536107303299,37.0
35,-9.942040481167378,-13.0857982465871,38.0
36,-10.377952869089594,-13.205889505901775,39.0
37,-11.46249650227097,-13.308973562002373,40.0
38,-10.298410718399202,-13.404838038979184,41.0
39,-10.018630441805731,-13.60272330775742,42.0
40,-10.076464129689219,-13.71541968926856,43.0
41,-10.720150274532257,-13.813821926323184,44.0
42,-11.762558946456368,-13.948540504282281,45.0
43,-10.604349940293995,-14.120776646706483,46.0
44,-11.175640033173908,-14.242878139379055,47.0
45,-10.659799606890582,-14.45325691866399,48.0
46,-11.076103997961397,-14.582484325455264,49.0
47,-10.706020946445514,-14.801321444907364,50.0
