,coherence,perplexity,topics
0,-1.9913738404379915,-8.108477832784999,3.0
1,-2.073457940042304,-8.321668485256676,4.0
2,-2.093669073764229,-8.491438428634032,5.0
3,-2.417918194515604,-8.667081068196667,6.0
4,-2.0669142281011643,-8.799032388438205,7.0
5,-2.061258735919996,-8.931493133553642,8.0
6,-7.858110623329277,-9.000474538101894,9.0
7,-6.071534049319699,-9.207549730726551,10.0
8,-6.3839109257822875,-9.41901943626096,11.0
9,-9.574446175328864,-9.681384431653408,12.0
10,-7.676728985428058,-9.956510340117955,13.0
11,-6.146721539970917,-10.103046826563855,14.0
12,-6.817448466261066,-10.244636554466746,15.0
13,-6.992589177128954,-10.382851300091069,16.0
14,-5.933403215841363,-10.53655991451321,17.0
15,-8.237503633137669,-10.617581714054573,18.0
16,-9.911515256260367,-10.74312322108046,19.0
17,-7.409571714050659,-10.908951195447456,20.0
18,-8.011343135524328,-11.035301182800099,21.0
19,-8.678189913071082,-11.156071652786874,22.0
20,-9.751229402272273,-11.272698100980193,23.0
21,-9.764100089066988,-11.380393795594918,24.0
22,-8.795918723270049,-11.532761662277688,25.0
23,-8.13158546804073,-11.648002190959366,26.0
24,-9.260100045462599,-11.780881253447847,27.0
25,-8.66657826895407,-11.886656240736903,28.0
26,-9.334581348167664,-11.987094358033206,29.0
27,-9.538863947835242,-12.139825690006235,30.0
28,-10.952574283226529,-12.202150005416012,31.0
29,-9.807169341554758,-12.334992149792095,32.0
30,-9.485043654662787,-12.469595279142117,33.0
31,-10.131232704269479,-12.589629217910048,34.0
32,-10.064694201956176,-12.69743347092999,35.0
33,-10.743036748356971,-12.803729522442772,36.0
34,-10.525501935203257,-12.960579922350096,37.0
35,-10.248214815576787,-13.031929064394806,38.0
36,-10.136256209294205,-13.198205797240805,39.0
37,-10.095401527096863,-13.300346156596945,40.0
38,-10.048578091688823,-13.407207141817246,41.0
39,-10.46323708445843,-13.516103407114658,42.0
40,-11.506375125788226,-13.681755595540306,43.0
41,-11.293921614762727,-13.783044229319415,44.0
42,-11.169477443248384,-13.890839883751607,45.0
43,-10.973426410023658,-14.053382458751168,46.0
44,-11.150918598860137,-14.19884879345477,47.0
45,-11.43826004995924,-14.35496423948773,48.0
46,-11.45195681842923,-14.458094058806747,49.0
47,-11.2401608751016,-14.719247085693404,50.0
48,-11.400915268614995,-14.97102520270065,51.0
49,-11.323348978786045,-15.155891447051085,52.0
50,-11.240495157367171,-15.376966194626677,53.0
51,-11.552304545329056,-15.74306284620158,54.0
52,-11.696183206877272,-16.18403323385911,55.0
53,-11.030453964293956,-16.361432571632587,56.0
54,-11.658053842196939,-16.80309527023606,57.0
55,-11.365729580364905,-17.324045320696335,58.0
56,-11.097156737175014,-17.893626196682643,59.0
57,-10.27438016864659,-18.917646174318186,60.0
58,-10.475370132819197,-19.204105352083577,61.0
59,-10.103198213855073,-19.865320812798902,62.0
60,-9.439451752947376,-21.33255808188388,63.0
61,-8.618561546953508,-22.716278939394268,64.0
62,-8.605775964856164,-23.771555191488947,65.0
63,-7.866571111604111,-24.527126511289477,66.0
64,-6.927024125346319,-27.125898808905358,67.0
65,-6.914128230298339,-27.8508669149452,68.0
66,-6.651124531963491,-30.332224365575826,69.0
67,-7.3359130846805165,-31.63553804839629,70.0
68,-7.11613106422777,-33.60762995800009,71.0
69,-8.442071467548534,-37.42625532361837,72.0
70,-8.605207371054851,-38.392270216188074,73.0
71,-9.482829637585029,-42.697800307708256,74.0
72,-9.759181302051386,-44.281637661113926,75.0
73,-10.41705047432937,-44.24680869748669,76.0
74,-12.370275492562996,-57.13088552661621,77.0
75,-12.248027056083021,-61.27283558024508,78.0
76,-12.312889174424178,-59.70183967105503,79.0
77,-12.942911815044454,-64.96367185767475,80.0
78,-14.07012124135831,-91.11412470807241,81.0
79,-13.233969093048774,-68.75113515936513,82.0
80,-13.686980641306864,-77.86713847454949,83.0
81,-13.941009184945973,-86.28447052893289,84.0
82,-14.341240217410958,-170.6751708984344,85.0
83,-14.078602746302675,-94.76295983869592,86.0
84,-14.21536487272963,-113.80014313317216,87.0
85,-14.341240217410954,-176.60685729980258,88.0
86,-14.341240217410954,-178.58474731445096,89.0
87,-14.215728822913206,-114.52168573679526,90.0
88,-14.212449936781585,-106.9746836916219,91.0
89,-14.341240217410958,-184.51943969726264,92.0
90,-14.341240217410958,-186.4980773925764,93.0
91,-14.34124021741096,-188.4769744873021,94.0
92,-14.34124021741096,-190.4561309814434,95.0
93,-14.341240217410954,-192.43547058105034,96.0
94,-14.341240217410954,-194.41510009765398,97.0
95,-14.341240217410956,-196.39476013183258,98.0
96,-14.341240217410956,-198.37483215331685,99.0
97,-14.341240217410958,-200.35498046874812,100.0
